ESXI_Host,IP
dc1-esxi-2-01.infra.local,10.0.213.1
dc1-esxi-2-02.infra.local,10.0.213.2
dc1-esxi-2-03.infra.local,10.0.213.3
dc1-esxi-2-04.infra.local,10.0.213.4
dc1-esxi-2-05.infra.local,10.0.213.5
dc2-esxi-2-01.infra.local,10.0.213.6
dc2-esxi-2-02.infra.local,10.0.213.7
dc2-esxi-2-03.infra.local,10.0.213.8
dc2-esxi-2-04.infra.local,10.0.213.9
dc2-esxi-2-05.infra.local,10.0.213.10
